Amelitidae,Baetidae,Brachycentridae,Ceratapogonidae,Chironomidae,Corydalidae,Ephemerellidae,Heptageniidae,Hydropsychidae,Lepidostomatidae,Leptophlebiidae,Leuctridae,Limnephilidae,Mite,Ostrocod,Peltoperlidae,Perlidae,Psephenidae,Pteronarcidae,Rhyacophilidae,Simuliidae,Snail,Tipulidae
0,0,-0,0,0,0,0,0,0,-0.94,0.94,0,-0.93,0,0,0.96,0,0,0,0,-0,0,0
0,0,-0,0,0,-0,0,0,0,0,0,-0,0,-0,0,0,0,0,0,0.96,-0,0,0
-0,-0,0,0,0,-0,0,-0,-0,-0,-0,0,0,0,-0.96,-0,-0,-0,-0,-0.9,0,0,-0
0,0,0,0,0.95,-0,0,0,0,-0,0,0,-0,0,-0,0,0,-0,0,0,-0,0,0
0,0,0,0.95,0,-0,0,0,0,-0,0,0,-0,0,-0,0,-0,-0,0,0,-0,0.91,0
0,-0,-0,-0,-0,0,-0.89,0,-0,0,0,-0,-0,-0,0,0,0,0,0,0,-0,-0,0
0,0,0,0,0,-0.89,0,0,0,-0,0,0,0,0,0,0,-0,-0,0,0,-0,0,-0
0,0,-0,0,0,0,0,0,0,-0,0.91,-0,-0,-0,0,0.89,0,0,0,0,-0,0,0
0,0,-0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0.88,0,0,0,0
-0.94,0,-0,-0,-0,0,-0,-0,0,0,-0,-0,0.88,-0,0,-0.88,0,-0,-0,-0,0,-0,-0
0.94,0,-0,0,0,0,0,0.91,0,-0,0,-0,-0,-0,0,1,0,0,0,0,-0.95,0,0
0,-0,0,0,0,-0,0,-0,0,-0,-0,0,-0,0.94,-0.89,-0,-0,-0,0,-0,0,0,0
-0.93,0,0,-0,-0,-0,0,-0,-0,0.88,-0,-0,0,-0,0,-0,-0,-0,-0,-0,0,-0,-0.9
0,-0,0,0,0,-0,0,-0,0,-0,-0,0.94,-0,0,-0,-0,0,-0,0,-0,0,0,0
0,0,-0.96,-0,-0,0,0,0,0,0,0,-0.89,0,-0,0,0,0,0,0,0.89,-0,-0,-0
0.96,0,-0,0,0,0,0,0.89,0,-0.88,1,-0,-0,-0,0,0,0,0,0,0,-0.94,0,0
0,0,-0,0,-0,0,-0,0,0,0,0,-0,-0,0,0,0,0,0.89,0,0,0,0,0
0,0,-0,-0,-0,0,-0,0,0,-0,0,-0,-0,-0,0,0,0.89,0,0,0,-0,-0,0
0,0,-0,0,0,0,0,0,0.88,-0,0,0,-0,0,0,0,0,0,0,0,-0,0,0
0,0.96,-0.9,0,0,0,0,0,0,-0,0,-0,-0,-0,0.89,0,0,0,0,0,-0,0,0
-0,-0,0,-0,-0,-0,-0,-0,0,0,-0.95,0,0,0,-0,-0.94,0,-0,-0,-0,0,-0,-0
0,0,0,0,0.91,-0,0,0,0,-0,0,0,-0,0,-0,0,0,-0,0,0,-0,0,0
0,0,-0,0,0,0,-0,0,0,-0,0,0,-0.9,0,-0,0,0,0,0,0,-0,0,0
